C01	EAEEF3	White
C02	292A2B	Black
C03	FFA630	Tangerine
C04	E68739	Yellow Orange
C05	CB3531	Tall Poppy
C06	B61927	Red
C07	E182B0	Carnation Pink
C08	DC519A	Hot Pink
C09	DA4383	Magenta
C10	EADE7F	Picasso
C11	EAC125	Yellow
C12	97CF87	Pistachio
C13	8BB23A	Pastel Green
C14	009053	Green
C15	00765F	Green Tea
C16	F96F40	Bright Carrot
C17	EB6027	Orange
C18	A7CDDE	Sky Blue
C19	2EABD8	Baby Blue
C20	0084CE	Light Blue
C21	004FA4	Dark Blue
C22	F2BFB8	Bubble Gun
C23	DCA384	Sand
C24	EED39E	Beeswax
C25	8A7EC2	Lavender
C26	9165B2	Pastel Lavender
C27	48337E	Purple
C28	B27938	Marigold
C29	B35540	Buccaneer
C30	9A4541	Redwood
C31	895D49	Light Brown
C32	65463D	Brown
C33	959698	Gray
C34	70757B	Dark Gray
C35	676B73	Silver
C36	CE6D83	Old Pink
C37	0078BF	True Blue
C38	55A4D9	Turquoise
C39	9EC9CD	Shadow Green
C40	CDC03F	Key Lomen Pie
C41	E1D367	Pastel Yellow
C42	E1C835	Sandstorm
C43	B11836	Paprika
C44	EE927C	Burning Sand
C46	E2E65D	Canary
C47	E9C1A6	Vanilla
C48	ECC03D	Corn
C49	EF67B2	Raspberry Pink
C50	C0B7D7	Maverick
C51	DFDABD	Spring Sun
C52	4F3989	Butterfly Bush
C53	8EC324	Bright Green
C54	00A5A1	Medium Turquoise
C56	82878B	Oslo Gray
C58	36384D	Black Rock
C60	B2D7CE	Sea Mist
C69	383E44	Mine Shaft
C70	153838	Brunswick Green
C71	E8AE00	Goldenrod
C72	D9B35E	Pastel Orange
C73	BB6833	Sienna
C74	CDB277	Deer
C75	AA744E	Clay
C76	EC625E	Coral Red
C77	BE5D65	Deep Chestnut
C78	99323A	Red Wine
C79	68C4D2	Light Sea Blue
C80	0093A9	Sea Blue
C81	5AB0BF	Steel Blue
C82	009EC2	Azure
C83	0084B2	Dark Steel Blue
C84	ADAD29	Drark Algae
C85	8F8E3C	Dark Olive
C86	007D2B	Jade Green
C87	D4D8D3	Ghost While
C88	C2C4C2	Ash Grey
C89	A7ACAD	Light Gray
C90	565A5E	Charcoal Gray
C91	CEA433	Dandelion
C92	DCB794	Pale Skin
C93	DD9285	Warm Blush
C94	E07B69	Salmon
C95	EF7F61	Apricot
C96	DC772B	Papaya
C97	6AAEDB	Himalaya Blue
C98	61BBD3	Waterfall
C99	279BBE	Lagoon
C100	00A7E3	Electric Blue
C101	0077CA	Pool Blue
C102	005AA9	Caribbian Blue
C103	007F9E	Deep Water
C104	007D91	Petrol Blue
C105	00649A	Wegdewood Blue
C106	006C9F	Pond Blue
C107	CFC179	Seashell Beige
C108	C4AE64	Beige
C109	AB9745	Beach Beige
C110	978138	Caffe Latté
C111	907C41	Oaktree Brown
C112	B6AE84	Khaki
C113	A59F65	Light Greengray
C114	938D54	Mossy Green
C115	8D8B51	Earth Green
C116	7F7E49	Sage Green
C117	5B6E35	Pinetree Green
C118	8AD5C9	Frosty Blue
C119	7CD2A5	Polar Mint
C120	72AC9A	Celadon Green
C121	00B26F	Eucalyptus
C122	3EB724	Clover Field
C123	0D7535	Pooltable Felt
C124	007D6E	Snake Green
C125	006E69	Dark Eucalyptus
C126	DFC3E1	Marsmallow Rose
C127	D38ED4	Light Grape
C128	D5A6BA	Rosebud Pink
C129	D6668E	Fuschia
C130	B8AAD9	Candy Violet
C131	DF486D	Flamingo
C132	BC3CA6	Pink Plum
C133	803897	Amethyst
C134	A7BAE1	Moonlight Blue
C135	AFB8DF	Summer Rain
C136	6B9AD4	Azur Blue
C137	5A89CE	Cornflower Blue
C138	658AD0	Forget Me Not
C139	566CBD	Indigo
C140	4D74C6	Horizon Blue
C141	416DBE	Cobolt
C142	30429E	Royal Blue
C143	024288	Marine
C144	D6CA6A	Pale Yellow Moss
C145	9D1A38	Bloodrose Red
C146	80B7A1	Spearmint
C147	7A594F	Mocha
C148	EFDBA1	Creme
C149	8884D0	Iris Violet
C150	345621	Forrest Green
C151	AEADDC	Lilac
C152	BCC3E1	Pale Lilac
C153	E3C09A	Sahara Sand
C154	C58B60	Sunkissed Teint
C155	5A5F65	Steel Grey
C156	4C5156	Iron Grey
C157	3A3E42	Pepper
C45	5DDB5D	Spring Green
C55	6CC24A	Conifer
C57	BC0423	Fresh Red
C59	531A23	Scarlett
C61	F1EB9C	Feta
C62	FC3F3F	Carnation
C63	EABEDB	Pink Pearl
C64	A50050	Rose
C65	EF7E2E	Mango
C66	FC6C85	Wild Watermelon
C67	B14EB5	Orchid
C68	69C2EE	Toothpaste Blue
CE01	C3CED6	Columbia Blue
CE02	9AB2DB	Pale Cerulean
CE03	5D88B2	Silver Lake Blue
CE04	02BDD1	Sky Blue (Crayola)
CE05	52CAAC	Maximum Blue Green
CE06	2D6DB2	Bright Navy Blue
CE07	C2A3B7	Black Shadows
CE08	8A5877	Mountbatten Pink
CE09	68355D	Halayà Úbe
CE10	B84FA8	Deep Mauve
CE11	B02FA4	Heliotrope Magenta
CE12	E2A365	Rajah
CE13	BE8E59	Earth Yellow
CE14	A87443	Chinese Bronze
CE15	A06E52	Alloy Orange
CE16	F9C1D7	Orchid Pink
CE17	59292B	Caput Mortuum
