S01	EAEEF3	White
S02	EE927C	Burning Sand
S03	FFA630	Tangerine
S04	EB6027	Orange
S05	CB3531	Tall Poppy
S06	EF67B2	Raspberry Pink
S07	959698	Gray
S08	1FC467	Emerald
S09	00685E	Dark Green
S10	2EABD8	Baby Blue
S11	004FA4	Dark Blue
S12	9165B2	Pastel Lavender
S13	292A2B	Black
S14	E1C835	Sandstorm
S15	9A4541	Redwood
S16	65463D	Brown
S17	895D49	Light Brown
S18	DCA384	Sand
S19	F2BFB8	Bubble Gun
S20	009053	Green
S21	8BB23A	Pastel Green
S22	48337E	Purple
S23	644FA4	Royal Purple
S24	0078BF	True Blue
S25	DC519A	Hot Pink
S26	DA4383	Magenta
S27	EAC125	Yellow
S28	DDA1CC	Lily Pink
S29	E1D367	Pastel Yellow
S30	9EC9CD	Shadow Green
S31	B2D7CE	Sea Mist
S32	EED39E	Beeswax
S33	C0B7D7	Maverick
S34	B61927	Red
S35	E1CCD2	Mona Lisa
S36	CE6D83	Old Pink
S37	60BFCB	Blue-Green
S38	A3134A	Burgundy
S39	E68739	Yellow Orange
S40	E182B0	Carnation Pink
S41	9D5B2E	Copper
S42	676B73	Silver
S43	70757B	Dark Gray
S44	A7CDDE	Sky Blue
S45	00A5A1	Medium Turquoise
S46	8EC324	Bright Green
S47	B27938	Marigold
S48	ECC03D	Corn
S49	921E5D	Mulberry Wood
S50	E2A488	Mandys Pink
S51	DFDABD	Spring Sun
S52	EADE7F	Picasso
S53	55A4D9	Turquoise
S54	0084CE	Light Blue
S55	97CF87	Pistachio
S56	F96F40	Bright Carrot
S57	B35540	Buccaneer
S58	B11836	Paprika
S59	4F3989	Butterfly Bush
S60	8A7EC2	Lavender
S61	CDC03F	Key Lomen Pie
S62	00765F	Green Tea
S63	696046	Metallic Gold
S64	36384D	Black Rock
S65	E2E65D	Canary
S66	E5533C	Blaze Orange
S67	E9C1A6	Vanilla
S68	CC9B74	Tan
S69	383E44	Mine Shaft
S70	ADAD29	Drark Algae
S71	007D2B	Jade Green
S72	68C4D2	Light Sea Blue
S73	5AB0BF	Steel Blue
S74	009EC2	Azure
S75	0084B2	Dark Steel Blue
S76	0093A9	Sea Blue
S77	D4D8D3	Ghost While
S78	C2C4C2	Ash Grey
S79	A7ACAD	Light Gray
S80	8F8E3C	Dark Olive
S81	BF9168	Deer
S82	AA744E	Clay
S83	BB6833	Sienna
S84	BE5D65	Deep Chestnut
S85	99323A	Red Wine
S86	E8AE00	Goldenrod
S87	EC625E	Coral Red
S88	D62779	Dark Pink
S89	565A5E	Charcoal Gray
S90	D9B35E	Pastel Orange
S91	153838	Brunswick Green
S92	CEA433	Dandelion
S93	DCB794	Pale Skin
S94	DD9285	Warm Blush
S95	E07B69	Salmon
S96	EF7F61	Apricot
S97	DC772B	Papaya
S98	6AAEDB	Himalaya Blue
S99	61BBD3	Waterfall
S100	279BBE	Lagoon
S101	00A7E3	Electric Blue
S102	0077CA	Pool Blue
S103	005AA9	Caribbian Blue
S104	007F9E	Deep Water
S105	007D91	Petrol Blue
S106	00649A	Wegdewood Blue
S107	006C9F	Pond Blue
S108	CFC179	Seashell Beige
S109	C4AE64	Beige
S110	AB9745	Beach Beige
S111	978138	Caffe Latté
S112	907C41	Oaktree Brown
S113	B6AE84	Khaki
S114	A59F65	Light Greengray
S115	938D54	Mossy Green
S116	8D8B51	Earth Green
S117	7F7E49	Sage Green
S118	5B6E35	Pinetree Green
S119	8AD5C9	Frosty Blue
S120	7CD2A5	Polar Mint
S121	72AC9A	Celadon Green
S122	00B26F	Eucalyptus
S123	3EB724	Clover Field
S124	0D7535	Pooltable Felt
S125	007D6E	Snake Green
S126	006E69	Dark Eucalyptus
S127	DFC3E1	Marsmallow Rose
S128	D38ED4	Light Grape
S129	D5A6BA	Rosebud Pink
S130	D6668E	Fuschia
S131	B8AAD9	Candy Violet
S132	DF486D	Flamingo
S133	BC3CA6	Pink Plum
S134	803897	Amethyst
S135	A7BAE1	Moonlight Blue
S136	AFB8DF	Summer Rain
S137	6B9AD4	Azur Blue
S138	5A89CE	Cornflower Blue
S139	658AD0	Forget Me Not
S140	566CBD	Indigo
S141	4D74C6	Horizon Blue
S142	416DBE	Cobolt
S143	30429E	Royal Blue
S144	024288	Marine
S145	D6CA6A	Pale Yellow Moss
