H01	E5ECF1	White
H02	E4E4C5	Cream
H03	E9C704	Yellow
H04	D14803	Orange
H05	B4060E	Red
H06	EA8AA5	Pink
H07	712297	Purple
H08	0239A3	Blue
H09	025BC3	Light Blue
H10	027643	Green
H11	19CDA7	Light Green
H12	3E271A	Brown
H13	C02435	Transparent Red
H14	E4AA32	Transparent Yellow
H15	487ED5	Transparent Blue
H16	37B876	Transparent Green
H17	838F98	Grey
H18	141315	Black
H19	D8D2CE	Clear
H20	8D2A0F	Reddish Brown
H21	BE6C21	Light Brown
H22	91020A	Dark Red
H24	683E9A	Translucent Purple
H26	E8A498	Matt Rose
H27	DCB18E	Beige
H28	1E2C1C	Dark Green
H29	BF0142	Claret
H30	4E0C1B	Burgundy
H31	489AB9	Turquoise
H32	FF208D	Neon Fuchsia
H33	FF3956	Cerise
H34	E5EF13	Neon Yellow
H35	FF2833	Neon Red
H36	2353B0	Neon Blue
H37	06B73C	Neon Green
H38	FD8600	Neon Orange
H42	0CBD51	Fluorescent Green
H43	E7E45A	Pastel Yellow
H44	F96160	Pastel Red
H45	8E69CD	Pastel Purple
H46	51AEE4	Pastel Blue
H47	80DF96	Pastel Green
H48	D67AD1	Pastel Pink
H49	0FACD1	Azure
H60	F0981E	Teddybear Brown
H70	A5B3C0	Light Grey
H71	445059	Dark Grey
H75	B78C6D	Tan
H76	8A5937	Nougat
H77	CED1C8	Cloudy White
H78	F7C1AA	Light Peach
H79	F87633	Apricot
H82	91175A	Plum
H83	037A9F	Petrol Blue
H84	687836	Olive Green
H95	DD9BA3	Pastel Rose
H96	B491AD	Pastel Lilac
H97	8AAFC2	Pastel Ice Blue
H98	94CCA4	Pastel Mint
H101	A9C39B	Eucalyptus
H102	356B2D	Forest Green
H103	FFE660	Light Yellow
H104	BCD122	Lime
H105	FFAC78	Light Apricot
H106	CCC5ED	Light Lavender
H107	6A87C1	Lavender
H108	2A2536	Aubergine
H109	8A847F	Cloudy Grey
H110	838956	Matcha
H111	835854	Dark Blush
H112	AD8A82	Blush
H113	5F887B	Aqua
H114	9A2C31	Cherry Red
H115	6E975F	Bright Green
H116	222838	Midnight Blue
H117	777169	Taupe Grey
H118	612932	Maroon Red
H119	4167B4	Sky Blue
