80-15179	305545	Evergreen
80-15181	B3BAB8	Light Grey
80-15182	AF9FCE	Lavender
80-15199	008F53	Shamrock
80-15200	0065B1	Cobalt
80-15201	2F3C55	Midnight
80-15202	A9CDD5	Robin's Egg
80-15203	F2AFB7	Flamingo
80-15204	E1747A	Salmon
80-15205	C9A385	Fawn
80-15206	94A19D	Pewter
80-15207	4F595A	Charcoal
80-15208	DEDACE	Toasted Marshmallow
80-15210	B1628E	Orchid
80-15211	D14337	Tomato
80-15212	D9593A	Spice
80-15213	F5A168	Apricot
80-15214	D8E47C	Sherbet
80-15215	93B0BD	Mist
80-15216	4AC0D8	Sky
80-15217	00A4AC	Lagoon
80-15218	047F8A	Teal
80-15219	7F971A	Fern
80-15220	696E31	Olive
80-15961	9D2B3A	Cherry
80-19001	EAEFEE	White
80-19002	E1E2BB	Creme
80-19003	E7CE3E	Yellow
80-19004	EB7B31	Orange
80-19005	B0353C	Red
80-19006	D8729A	Bubblegum
80-19007	684B86	Purple
80-19008	0E5092	Dark Blue
80-19009	278CC9	Light Blue
80-19010	007B4E	Dark Green
80-19011	18C7B1	Light Green
80-19012	674C44	Brown
80-19017	909497	Grey
80-19018	323234	Black
80-19020	995043	Rust
80-19021	936848	Light Brown
80-19033	E9BFB9	Peach
80-19035	C5AC90	Tan
80-19038	E04284	Magenta
80-19052	4A9CCF	Pastel Blue
80-19053	6DCC94	Pastel Green
80-19054	937FBF	Pastel Lavender
80-19056	E9E290	Pastel Yellow
80-19057	FBB146	Cheddar
80-19058	96D1D4	Toothpaste
80-19059	DD595B	Hot Coral
80-19060	A75D9D	Plum
80-19061	69B845	Kiwi Lime
80-19062	0098C5	Turquoise
80-19063	F99297	Blush
80-19070	6683B7	Periwinkle Blue
80-19079	E1BCCE	Light Pink
80-19080	4DAB64	Green
80-19083	D45496	Pink
80-19088	983864	Raspberry
80-19090	DA9964	Butterscotch
80-19091	009188	Parrot Green
80-19092	585C61	Dark Grey
80-19093	85A8E3	Blueberry Creme
80-19096	843947	Cranapple
80-19097	BBC938	Prickly Pear
80-19098	E5BE9E	Sand
80-15240	B3EED5	Mint
80-15241	A3DE6F	Sour Apple
80-15242	F479B0	Cotton Candy
80-15243	503B9C	Grape
80-15244	D25D72	Rose
80-15245	4E56A3	Iris
80-15246	FD5918	Tangerine
80-15247	005D57	Forest
80-15248	6F3255	Eggplant
80-15249	DA8C2C	Honey
80-15250	7E5446	Gingerbread
80-15251	8C8CA7	Thistle
80-15252	5E6D7B	Slate Blue
80-15253	4C6388	Denim
80-15254	9AA98E	Sage
80-15255	EFB79B	Orange Cream
80-15256	CA3B65	Fruit Punch
80-15257	CB59B9	Fuchsia
80-15258	714875	Mulberry
80-15259	C8C85C	Slime
80-15260	988C8C	Stone
80-15261	14313B	Dark Spruce
80-15262	392928	Cocoa
80-15265	C685B1	Twilight Plum
80-15266	6CC8AD	Caribbean Sea
80-15267	CDB7C3	Frosted Lilac
80-15273	FC9574	Brick
80-15274	F6CA69	Rich Butter
80-15275	0090AC	Peacock
80-15276	F8C7C9	Carnation Pink
80-15089	406AE1	Neon Blue
80-15268	DEBA0B	Sunflower
80-15269	F6D901	Lemon
80-15263	BED4A6	Celery
80-15239	C8B693	Mocha
80-15272	FF9A8B	Coral
