80-15179	305545	Evergreen
80-15181	B3BAB8	Light Grey
80-19001	EAEFEE	White
80-19002	E1E2BB	Creme
80-19003	E7CE3E	Yellow
80-19004	EB7B31	Orange
80-19005	B0353C	Red
80-19006	D8729A	Bubblegum
80-19007	684B86	Purple
80-19008	0E5092	Dark Blue
80-19009	278CC9	Light Blue
80-19011	18C7B1	Light Green
80-19012	674C44	Brown
80-19017	909497	Grey
80-19018	323234	Black
80-19021	936848	Light Brown
80-19033	E9BFB9	Peach
80-19035	C5AC90	Tan
80-19010	007B4E	Dark Green
80-19052	4A9CCF	Pastel Blue
80-19054	937FBF	Pastel Lavender
80-19056	E9E290	Pastel Yellow
80-19057	FBB146	Cheddar
80-19058	96D1D4	Toothpaste
80-19059	DD595B	Hot Coral
80-19060	A75D9D	Plum
80-19061	69B845	Kiwi Lime
80-19062	0098C5	Turquoise
80-19063	F99297	Blush
80-19079	E1BCCE	Light Pink
80-19080	4DAB64	Green
80-19083	D45496	Pink
80-19088	983864	Raspberry
80-19090	DA9964	Butterscotch
80-19091	009188	Parrot Green
80-19092	585C61	Dark Grey
80-19093	85A8E3	Blueberry Creme
80-19096	843947	Cranapple
80-19097	BBC938	Prickly Pear
80-19098	E5BE9E	Sand
80-14110	DEDACE	Toasted Marshmallow
